NAME,NORTHING,EASTING,ELEVATION
RE27A,254916.08400000000,2363669.07200000016,3719.00000000000
RE28,256222.67199999999,2362286.69700000016,0.00000000000
RE29,253480.76000000001,2362379.59899999993,0.00000000000
RE3,264442.23200000002,2356944.44100000011,0.00000000000
RE30,253617.36499999999,2360442.14300000016,0.00000000000
RE31,253979.81299999999,2357389.58600000013,0.00000000000
RE32,253156.95699999999,2356301.36700000009,0.00000000000
RE33,245057.32600000000,2367251.62099999981,0.00000000000
RE34,251370.15700000001,2354533.67900000000,0.00000000000
RE35,260440.78200000001,2353631.28399999999,0.00000000000
RE36,261092.85900000000,2361813.53299999982,0.00000000000
RE37,257223.65700000001,2358274.01899999985,0.00000000000
RE38,258968.34000000000,2351627.08000000007,0.00000000000
RE39,264326.09000000003,2350722.33000000007,0.00000000000
RE4,259801.59299999999,2357682.92400000012,0.00000000000
RE40,266261.21999999997,2350847.06999999983,0.00000000000
RE5,259480.89000000001,2353796.40100000007,0.00000000000
RE6,258423.28500000000,2354611.21400000015,0.00000000000
RE7,257948.77400000000,2352961.60900000017,0.00000000000
RE8,256865.66300000000,2354115.53399999999,0.00000000000
RE9,255983.23499999999,2357180.67599999998,0.00000000000
S47,203752.84000000000,2327046.27100000018,0.00000000000
SLME,256799.94699999999,2352014.15400000010,0.00000000000
VOLPK,229185.26400000000,2349859.44799999986,0.00000000000
ZAP15,260099.00000000000,2351385.58000000007,0.00000000000
ZAP2,256193.79999999999,2348626.20999999996,0.00000000000
ZAP28,244906.11100000000,2354310.39099999983,0.00000000000
ZAP29,245551.14600000001,2348422.38599999994,0.00000000000
GO21,180763.00000000000,2371658.00000000000,0.00000000000
CS70,253574.00000000000,2363225.00000000000,0.00000000000
CosoABS,0.00000000000,0.00000000000,0.00000000000
